# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0000000000     -992.2109096260
       10.0000000000     -992.2115186590
       20.0000000000     -992.2132412460
       30.0000000000     -992.2157797110
       40.0000000000     -992.2186795590
       50.0000000000     -992.2213890540
       60.0000000000     -992.2233554350
       70.0000000000     -992.2242017920
       80.0000000000     -992.2239195900
       90.0000000000     -992.2228665340
      100.0000000000     -992.2215785150
      110.0000000000     -992.2206023100
      120.0000000000     -992.2203656870
      130.0000000000     -992.2210560760
      140.0000000000     -992.2225619410
      150.0000000000     -992.2245176670
      160.0000000000     -992.2264267700
      170.0000000000     -992.2278057370
      180.0000000000     -992.2283073490
      190.0000000000     -992.2278057380
      200.0000000000     -992.2264268070
      210.0000000000     -992.2245175670
      220.0000000000     -992.2225621030
      230.0000000000     -992.2210560830
      240.0000000000     -992.2203658380
      250.0000000000     -992.2206023770
      260.0000000000     -992.2215783520
      270.0000000000     -992.2228665720
      280.0000000000     -992.2239198070
      290.0000000000     -992.2242019570
      300.0000000000     -992.2233555420
      310.0000000000     -992.2213888910
      320.0000000000     -992.2186795930
      330.0000000000     -992.2157798530
      340.0000000000     -992.2132411220
      350.0000000000     -992.2115185110
      360.0000000000     -992.2109096490
